# ----------------------------------------
# All Web Site Data
# New Statistics with Chuck
# 20191201-20191231
# ----------------------------------------

ContentDM Collections Stats (Content Group),Pageviews
sllboces,"84,434"
(not set),"50,358"
wat,"22,275"
VHB011,"11,602"
clarkson,"9,487"
stlawu,"8,876"
p15281coll12,"8,126"
supl,"7,821"
sunyoswego,"7,489"
p16694coll83,"6,833"
livpub01,"6,430"
sunypotsdam,"6,083"
p15281coll2,"5,495"
nyacklib,"4,406"
XFM001,"4,205"
p16694coll106,"3,946"
p16694coll10,"3,913"
srr_oneida,"3,826"
p16124coll2,"3,794"
p16694coll19,"3,756"
newburgh,"3,678"
p16694coll29,"3,519"
libertyhs,"3,243"
tupper,"3,139"
larc,"3,037"
p16694coll38,"3,017"
p277601coll7,"2,886"
p16694coll47,"2,661"
jcclibrary,"2,604"
p16694coll20,"2,600"
hsrc,"2,361"
paulsmiths,"2,284"
p16694coll65,"1,741"
BSM001,"1,733"
p16694coll6,"1,690"
tpl,"1,682"
VTP005,"1,593"
p15281coll76,"1,560"
p16694coll45,"1,478"
p16373coll122,"1,470"
p16373coll80,"1,410"
hhs,"1,363"
p16694coll56,"1,363"
p16373coll50,"1,341"
p16694coll105,"1,329"
VXU001,"1,292"
p16694coll104,"1,287"
scpl,"1,276"
NYHSR01,"1,263"
p15281coll39,"1,249"
JSY,"1,233"
p16694coll109,"1,218"
VHB001,"1,170"
p16694coll63,"1,144"
p16694coll26,"1,127"
sunynp,"1,112"
p16694coll43,"1,080"
srr_utica,"1,073"
p15281coll33,"1,064"
nrpl,"1,039"
p16373coll49,"1,028"
sunyup01,"1,013"
p15109coll6,"1,008"
p16694coll61,999
p15004coll9,981
p16694coll72,978
p15109coll7,946
nysmm,913
gpl,881
VXU,861
pipc,858
p16694coll1,820
p16694coll90,798
pchc,763
nyrud,761
p16694coll75,759
p16694coll25,744
VTP003,735
gcla,723
cornpl,719
p16694coll115,711
R6A001,709
p16694coll79,697
p16373coll115,692
cia,685
p15085coll7,685
VXU005,675
crandall,655
p15281coll19,654
p15281coll10,649
p17042coll3,645
hrh,640
chs,622
siena,614
hrvi,609
p16373coll130,603
ipl,592
p16202coll7,586
p16373coll123,572
cphpl,571
srr_ocpl,559
p16694coll58,556
p16694coll50,542
fhk,536
p15281coll40,519
bard,515
p15052coll5,512
hrmm,499
p16694coll98,488
elting,485
p15281coll37,466
p16694coll51,450
p16124coll1,432
mbl,410
nhc,409
fdr,402
p16694coll96,397
ppm,397
p16694coll44,387
vbmc,383
ngrl,377
p15109coll11,376
p15085coll6,368
maria,366
p16694coll31,355
p16694coll112,341
p16694coll15,340
eplm,336
p16373coll58,319
gplhs,316
p15281coll20,311
p15281coll104,309
p16694coll5,308
p15281coll27,307
p16694coll7,302
p16373coll85,297
rhs,296
tobcl,293
bpl,284
p277601coll3,283
p15281coll58,282
xgy,281
p15281coll75,274
sccc,267
cpl,248
mrhs,248
NYMHG,248
NYBFL,246
p4020coll5,243
shs,242
p16694coll85,235
p16694coll82,232
Grolier01,227
ZCQ001,223
p16694coll73,220
locustgrove,218
p15281coll78,218
fayfre01,214
p15281coll59,213
p15281coll25,204
p15281coll57,203
p16694coll52,200
p16694coll111,197
srr_ecm,197
p16694coll24,188
uchs,188
adkhistory,186
p16694coll33,182
nnyg,181
qc,179
schmuse,176
p16694coll124,175
vassar,174
p15052coll1,172
p16694coll8,168
p16694coll86,166
p277601coll5,166
marlboro,163
NYCCH,159
VX4,156
p274401coll1,152
phs,150
srr_enhs,144
p16694coll69,142
p16694coll9,140
p16694coll4,136
p16694coll64,135
slfl,134
p277601coll8,132
spl,131
VVN001,130
p16694coll100,122
p16694coll22,121
slcha,121
p16694coll119,120
NYCSN,119
p16694coll49,119
p15405coll1,114
p261501co1l12,111
p277601coll11,110
yu,110
nptr,109
p261501coll8,109
p16694coll122,105
VRT,103
p15281coll65,101
p16694coll23,101
p16694coll13,100
p16694coll78,100
p15281coll56,99
p16694coll57,99
p16694coll36,96
ZBM,92
p277601coll4,91
p15085coll2,90
p16694coll108,89
srr_ham,89
p16694coll118,84
p16694coll114,81
p16694coll21,81
nwkpld,80
wilderstein,76
p16124coll4,73
haal,71
tps,71
cchs,69
cgcmh,68
fmcc,65
p16694coll84,65
sspl,65
p16694coll110,64
aiha,63
qcgslis_f06,63
p15281coll154,62
keenev,61
p16373coll59,60
srr_sph,60
dudleyo,58
p15281coll35,58
p16694coll120,57
strose,56
p16694coll2,54
rvha,53
bpl_fsc,52
dcc,52
p16124coll6,52
p16694coll80,52
hvvacc,51
p15281coll8,51
p277601coll2,51
srr_skanhis,51
fpfl,50
mv,47
norbn,47
p16694coll87,47
hsw,46
p16694coll27,46
p16694coll70,44
salfree,44
hvcc,43
mlw,43
holytrin01,42
p16694coll71,42
nor,41
p16694coll14,39
BUF006,38
p16694coll91,38
p128401coll4,36
p16694coll121,36
p261501coll7,36
srr_sghs,35
occc,34
p16694coll59,34
senatehouse,33
cies,31
p16694coll16,31
p16694coll30,31
srr_tromp,31
lc,30
p15109coll4,30
p16694coll54,30
qcgslis,30
srr_sulaw,29
p16694coll17,28
p16694coll74,28
tim,28
miner,27
YJA,27
mdpl,26
srmtenv,25
uccc,25
BUF005,24
p15281coll38,24
p16694coll66,24
p16694coll113,23
YBM002,23
YJL,23
p15052coll2,21
p16694coll12,21
srl,21
p15281coll66,20
p16694coll37,20
p16694coll116,19
p16694coll40,19
p16694coll41,19
p16694coll60,19
tsc,18
srr_mundy,17
orangetown,16
p16694coll67,16
p16694coll94,16
gwpl,15
p15085coll1,15
p16694coll11,15
p16694coll117,15
afl,14
p15281coll1,13
p16694coll77,13
ssphv,12
p128401coll7,11
srr_lfpl,11
p15052coll6,10
p16694coll62,10
YJJ,10
NYNCH,9
p16694coll102,9
p16694coll28,9
p16694coll39,9
p16694coll95,9
MC_metro,8
p15052coll3,7
p16694coll34,7
srr_rshs,7
als,6
p16124coll3,6
pchs,6
rcich,6
p16694coll89,5
id,4
mv!norbn!newburgh!nhc!nptr!nrpl!nyacklib!occc!orangetown!pipc!phs!pchs!pchc!rhs!rvha!spl!scpl!senatehouse!shs!ssphv!srl!sunynp!tvm!twvmhs!tps!tpl!uccc!uchs!vbmc!vassar!wilderstein!nwkpld,4
p128401coll5,4
p15281coll36,4
volney,4
ogdensburg,3
p15109coll1,3
p16124coll8,3
p16694coll18,3
p16694coll35,3
p16694coll88,3
p277601coll6,3
quitman,3
srr_skanlib,3
twvmhs,3
xfr,3
astorcol,2
bc_sh,2
cgc,2
ChesterWarren,2
mfl,2
p15052coll4,2
p15281coll60,2
p16694coll48,2
troypl,2
cazcoll01,1
grn,1
p15281coll34,1
p16694coll3,1
