"Council","InstitutionID","InstitutionName","CollectionAlias","Pageviews"
"Rochester Regional Library Council","RRLC001","Appellate Division Fourth Department Law Library","VRT",52
"Rochester Regional Library Council","RRLC003","Finger Lakes Community College","p15109coll2",0
"Rochester Regional Library Council","RRLC004","Geneva Historical Society","p15109coll6",1060
"Rochester Regional Library Council","RRLC005","Geneva Public Library","JSY",2326
"Rochester Regional Library Council","RRLC006","Henrietta Public Library","p15109coll1",11
"Rochester Regional Library Council","RRLC007","University of Rochester Medical Center - Highland Hospital","p277601coll8",29
"Rochester Regional Library Council","RRLC008","Hobart and William Smith Colleges","p277601coll11",15
"Rochester Regional Library Council","RRLC009","Macedon Public Library","p16694coll71",24
"Rochester Regional Library Council","RRLC010","University of Rochester - Memorial Art Gallery","p277601coll5",1133
"Rochester Regional Library Council","RRLC011","Mendon Public Library","p16694coll43",2362
"Rochester Regional Library Council","RRLC012","Naples Library","p16694coll74",382
"Rochester Regional Library Council","RRLC013","Nazareth College","p277601coll7",3484
"Rochester Regional Library Council","RRLC014","Newark Public Library","p15109coll4",111
"Rochester Regional Library Council","RRLC015","Perry Public Library","p16694coll75",390
"Rochester Regional Library Council","RRLC016","Rochester Civic Garden Center","p16694coll40",21
"Rochester Regional Library Council","RRLC017","Rochester Genealogical Society","p16694coll54",70
"Rochester Regional Library Council","RRLC018","RIT Libraries, Cary Graphic Arts Collection","p16694coll34",0
"Rochester Regional Library Council","RRLC019","Rochester Regional Health - Rochester Medical Museum & Archvies","p277601coll2",57
"Rochester Regional Library Council","RRLC020","Rochester Museum & Science Center","p15109coll11",351
"Rochester Regional Library Council","RRLC021","Rochester Public Library","p16694coll15",388
"Rochester Regional Library Council","RRLC023","Sonneberg Gardens and Mansion State Historic Park","p16694coll21",63
"Rochester Regional Library Council","RRLC024","St. John Fisher College","p15109coll7",456
"Rochester Regional Library Council","RRLC025","The Strong National Museum of Play","p16694coll44",305
"Rochester Regional Library Council","RRLC026","SUNY College at Brockport","p277601coll4",105
"Rochester Regional Library Council","RRLC027","SUNY Geneseo","p277601coll3",825
"Rochester Regional Library Council","RRLC028","Town of Henrietta","townofhen",1
"Rochester Regional Library Council","RRLC029","University of Rochester Medical Center - Eastman Institute for Oral Health","p277601coll6",0
"Rochester Regional Library Council","RRLC030","Walworth Historical Society","p16694coll32",7
"Rochester Regional Library Council","RRLC031","University of Rochester - River Campus Libraries","p16694coll84",78
"Rochester Regional Library Council","RRLC032","University of Rochester Medical Center - Edward G. Miner Library","p16694coll108",440
"Rochester Regional Library Council","RRLC033","Ogden Farmers' Library","p16694coll119",10
"Northern New York Library Network","NNYLN001","Adirondack Architectural Heritage","p16694coll9",315
"Northern New York Library Network","NNYLN002","Adirondack Experience","p16694coll65",2664
"Northern New York Library Network","NNYLN003","Antique Boat Museum","p16694coll49",154
"Northern New York Library Network","NNYLN004","Clarkson University - Harriet Call Burnap Memorial Library","clarkson",8474
"Northern New York Library Network","NNYLN005","Clinton Community College - Douglas Library","p16694coll31",12
"Northern New York Library Network","NNYLN006","Colton Museum and Historical Society","p16694coll16",343
