# ----------------------------------------
# All Web Site Data
# ContentDM Statistics with Chuck
# 20200401-20200430
# ----------------------------------------

ContentDM Collections Stats (Content Group),Pageviews
sllboces,"504,070"
(not set),"85,071"
wat,"52,325"
livpub01,"34,364"
VHB011,"30,209"
p16694coll10,"26,241"
p16694coll126,"23,641"
tupper,"19,972"
srr_oneida,"19,832"
sunyoswego,"19,408"
supl,"13,792"
sunypotsdam,"12,705"
p16694coll83,"12,201"
p16694coll38,"11,599"
p15281coll2,"9,989"
stlawu,"9,641"
clarkson,"8,474"
p15281coll12,"6,926"
libertyhs,"5,603"
srr_utica,"5,523"
p16694coll20,"4,927"
VTP003,"4,837"
p16124coll2,"4,692"
nyacklib,"4,615"
p16694coll19,"4,540"
tpl,"4,540"
p16694coll109,"4,312"
larc,"4,261"
p15004coll9,"4,214"
p16694coll90,"4,181"
p16694coll104,"4,164"
sunynp,"3,918"
p16694coll56,"3,630"
XFM001,"3,494"
p277601coll7,"3,484"
hsrc,"3,379"
paulsmiths,"3,265"
p16694coll45,"3,157"
newburgh,"3,143"
hhs,"2,808"
p16694coll65,"2,664"
p16694coll43,"2,362"
JSY,"2,326"
p16694coll25,"2,318"
gpl,"2,304"
p16694coll51,"2,200"
R6A001,"2,197"
p15085coll7,"2,133"
marlboro,"2,101"
nrpl,"2,007"
VXU001,"1,858"
cia,"1,850"
p16373coll80,"1,684"
cphpl,"1,662"
VXU005,"1,658"
VHB001,"1,617"
p16694coll105,"1,612"
p16202coll7,"1,584"
gcla,"1,571"
jcclibrary,"1,493"
nyrud,"1,472"
bard,"1,459"
p16373coll49,"1,455"
p16373coll50,"1,435"
NYHSR01,"1,427"
p16694coll130,"1,418"
nysmm,"1,417"
p16694coll29,"1,402"
chs,"1,382"
VX4,"1,376"
p16694coll63,"1,338"
p16694coll72,"1,338"
p16373coll122,"1,332"
p16373coll58,"1,299"
ngrl,"1,238"
VTP005,"1,235"
p16694coll79,"1,232"
p15281coll76,"1,225"
pchc,"1,215"
p16694coll127,"1,201"
hrmm,"1,199"
p15281coll20,"1,197"
hrh,"1,185"
Grolier01,"1,174"
p16694coll106,"1,174"
p15281coll33,"1,160"
p277601coll5,"1,133"
fhk,"1,127"
p16694coll1,"1,108"
srr_ecm,"1,096"
p15281coll10,"1,071"
p15109coll6,"1,060"
p15281coll19,"1,032"
p16373coll85,"1,013"
pipc,998
p16694coll26,969
p16373coll130,959
p16124coll1,949
p15085coll6,936
nhc,920
crandall,917
p16694coll17,840
p277601coll3,825
schmuse,819
fayfre01,807
srr_ocpl,807
p16694coll131,777
p16694coll111,771
eplm,768
scpl,767
p16373coll115,763
p16694coll5,742
p17042coll3,739
VXU,737
p16694coll58,735
hrvi,731
elting,729
fdr,716
p16694coll121,716
ipl,712
p15052coll5,707
p15281coll39,690
p16373coll123,682
BSM001,674
p16694coll61,648
p16694coll47,629
p16694coll50,597
uchs,585
bpl,584
p15281coll37,557
p16694coll73,554
NYCSN,552
p15281coll40,549
p16694coll6,536
p16694coll86,531
NYMHG,517
cornpl,507
p274401coll1,496
srr_skanhis,488
p16694coll98,482
tobcl,475
p15109coll7,456
sunyup01,456
p15281coll75,448
p16694coll108,440
p16694coll96,439
p16694coll115,437
VVN001,428
p16694coll85,409
mrhs,402
p16694coll24,392
p16694coll75,390
gplhs,389
p16694coll15,388
p15281coll104,385
p16694coll74,382
cpl,376
p15109coll11,351
vbmc,346
cies,344
p16694coll16,343
p261501co1l12,336
p15281coll59,333
p16694coll33,323
shs,318
NYCCH,316
dcc,315
p16694coll9,315
p15281coll65,314
p16694coll78,306
rhs,306
p16694coll44,305
p16694coll113,304
p16694coll18,301
p16694coll82,293
p16694coll99,288
p15281coll27,277
p15281coll8,272
slcha,264
p16694coll52,258
p16694coll8,238
p16694coll64,236
p16694coll4,235
