# ----------------------------------------
# All Web Site Data
# Drupal-Side Statistics with Chuck
# 20200101-20200131
# ----------------------------------------

Drupal-Side Stats (Content Group),Pageviews
(not set),"501,220"
buffalo-ku-klux-klan-membership-list,414
bentley-snow-crystal-collection,376
st-lawrence-lewis-board-educational-services,369
cradle-aviation-museum,357
massena-central-school-yearbooks-collection,352
watertown-high-school-yearbooks-collection,330
buffalo-city-directories,285
holland-land-company-maps,247
clarksonian-yearbooks-collection,216
nazareth-college-gleaner-collection,187
clifton-fine-central-school-yearbooks-collection,184
ilion-free-public-library,176
buffalo-and-erie-county-public-library,174
baldwinsville-yearbook-collection,168
lisbon-central-school-yearbooks,168
sacandaga-park-ny-postcard-collection,164
st-lawrence-central-school-yearbooks-collection,162
ilion-urban-renewal-collection,160
historic-hempstead,158
potsdam-central-school-yearbooks-collection,147
freeport-historic-photographs,131
massapequa-public-library,130
rockville-centre-public-library,127
1964-rochester-riot-photographs,125
northport-east-northport-photograph-collection,121
ogdensburg-city-school-district-yearbook-collection,120
war-1812,118
norwood-norfolk-central-school-yearbooks,113
oceanside-high-school-yearbooks,110
utica-free-academy-yearbooks,110
gouverneur-central-school-yearbooks-collection,109
whitesboro-school-yearbooks,108
putnam-county-ny-history-collections,104
lake-view-cemetery-records,101
schenectady-county-historical-society,101
cardinal-suny-plattsburgh-college-yearbooks,100
collection_type/yearbooks,100
heuvelton-central-school-yearbooks,100
gridiron-yearbooks,95
northport-east-northport-public-library,95
holland-land-company-archives,91
madrid-waddington-central-school-yearbooks-collection,91
history-town-amherst-new-york-1818-1965,90
oneida-yearbook-collection,89
pioneer-yearbooks,88
geneva-medical-college-1834-1871,84
suny-fredonia-daniel-reed-library,84
history-black-community-syracuse,83
frederick-douglass-paper,81
hempstead-public-library,81
field_alpha_sort/C,80
syracuse-central-high-school-archives,80
brentwood-historical-photographs,79
edwards-knox-central-school-yearbooks-collection,75
glens-falls-hometown-usa,75
hermon-dekalb-central-school-yearbooks-collection,75
nickell-collection-dr-rv-pierce-medical-artifacts,75
freeport-memorial-library,74
tuxedo-park-library,74
ontarian-yearbooks,73
polster-photographs-lockport-ny,73
thomas-r-bayles-collection,73
maureen-osullivan-cushing-collection-maria-college-albany-ny,70
parishville-hopkinton-central-school-yearbooks,70
historic-rockville-centre-postcards,69
port-washington-public-library,69
rensselaer-county-historical-society,69
bayport-yearbooks,68
high-school-yearbooks-chemung-county,67
historic-red-hook,67
onondaga-county-public-library-central-library,66
fort-plain-street-fair,65
baldwinsville-public-library,64
bellmore-historical-photographs,63
sacandaga-park-ny-postcard-collection?fbclid=IwAR3KoVK39t-a9wj1jpkZrkI1VTxZjaohjtRXaRF6lPxvxawgkzCHgxHznps,63
farmingdale-historical-collection,62
tupper-lake-high-school-yearbook,62
canton-central-school-yearbooks-collection,61
historical-society-massapequas-collection,60
geneva-historical-society,59
crouse-hospital-history,58
douglass-monthly,58
merrick-historical-photographs,58
misci-museum-innovation-and-science,58
new-rochelle-public-library,58
rockville-centre-historic-village-photographs,58
hws-vail-photograph-collection,57
new-york-state-military-museum-and-veterans-research-center,57
allan-herschell-ride-archive,56
tupper-lake-goff-nelson-memorial-library,56
buffalo-history-museum,55
wivb-tv-television-news-film-and-video-archives,55
arthur-koweek-collection-hudson-urban-renewal,54
love-canal-images,54
newburgh-free-library,54
st-john-fisher-college,54
erie-canal-museum,53
historical-society-east-rockaway-and-lynbrook,53
town-clifton-park-history-collection,53
harrisville-central-school-yearbooks,52
historic-huguenot-street,52
saint-regis-mohawk-tribe,51
ilions-era-progression-and-improvement,50
north-star,49
port-washington-main-street-collection,49
somers-historical-society,49
