,2
15th-new-york-national-guard-enlistment-records,32
175th-anniversary-buffalo-erie-county-public-library,36
1825-pivotal-year-niagara-frontier,19
1909-hudson-fulton-celebration-postcards,6
1913-watervliet-flood,18
1935-federal-improvement-aerial-survey,23
1964-rochester-riot-photographs,125
19th-century-monographs-history-western-new-york,41
1st-methodist-protestant-ch-b3,5
1st-methodist-protestant-chb4,3
20th-century-remains-genesee-valley-canal,27
27th-division-world-war-two,29
abby-and-will-csaplar-lake-george-collection,7
acha-postcard-collection,15
acorn-stove-trade-cards,9
adirondack-architectural-heritage,4
adirondack-experience,31
adirondack-history-center-museum-essex-county-historical-society,32
adirondack-map-collection,17
adirondack-mines-photograph-collection,14
adirondack-scenery-glass-projector-slides,3
adirondack-scenic-photograph-collection,5
aerial-photographs-cary-institute-ecosystem-studies,1
african-american-presence-hudson-valley,21
african-repository-and-colonial-journal,24
aggazette,7
agnes-elliott-collection,1
agricola-and-paysonian-yearbooks,27
albany-city-and-county-war-council,1
albany-college-pharmacy-and-health-sciences-paul-byrnes-34-archives,14
albany-county-historical-association-ten-broeck-mansion,21
albany-institute-history-and-art,4
albany-institute-history-and-art-library-digital-images,5
albany-law-school,4
albany-law-school-alumni,9
albany-law-school-architecture-collection,4
albany-law-school-collection,2
albany-ny-school-yearbooks,16
albany-public-library,21
albert-r-stone-negative-collection,47
albert-wisner-public-library,20
albion-winegar-tourgee-collection,22
alexis-johnson-collection,4
alfred-university-herrick-library,20
alfred-university-new-york-state-college-ceramics,2
alfred-university-postcard-collection,6
allan-herschell-ride-archive,56
allen-g-tripp-md-papers,1
almquist-green-lakes-collection,2
altamont-free-library,2
altamont-ny-history-collection,7
alumni-news-and-postscript,21
american-and-foreign-anti-slavery-reporter,12
american-humane-association-be-kind-animals-poster-collection,11
american-legion-post-342,1
american-pomeroy-historic-genealogical-association,2
anna-e-wilcox-collection,3
anti-slavery-record,2
antique-boat-museum,10
anVkaWNpYW,2
appellate-division-fourth-department-law-library,13
architecture-livingston-county-ny,1
archives-holland-land-company,1
arendtiana-collection,1
art-oneida,1
arthur-b-gregg-collection,8
arthur-koweek-collection-hudson-urban-renewal,54
ashokan-reservoir-lost-profit-testimonies,3
atari-coin-op-division-corporate-records-1969-2002,11
atlas-hudson-river-valley-new-york-city-troy,13
baker-cederberg-museum-and-archives-collection,1
baldwinsville-public-library,64
baldwinsville-yearbook-collection,170
barbara-parnass-slide-collection,2
bard-class-photos,6
bard-college-archives-and-special-collections,9
bard-college-presidents,2
bard-college-radio-wxbc,1
bard-family-papers,6
bard-student-fire-department,6
