"Council","InstitutionID","InstitutionName","CollectionID","CollectionName","Path","Pageviews"
"Northern New York Library Network","NNYLN001","Adirondack Architectural Heritage","NNYLN01-001","The Barbara Parnass Slide Collection","barbara-parnass-slide-collection",2
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL025","Adirondack Mines Photograph Collection","adirondack-mines-photograph-collection",9
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL022","Ticonderoga Pulp and Paper Company Photograph Collection","ticonderoga-pulp-and-paper-company-photograph-collection",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL021","Childwold Photograph Collection","childwold-photograph-collection",20
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL020","John Champney Photograph Collection","john-champney-photograph-collection",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL018","Adirondack Scenic Photograph Collection","adirondack-scenic-photograph-collection",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL027","Adirondack Map Collection","adirondack-map-collection",4
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL017","Lumber Camp Mission Slide Collection","lumber-camp-mission-slide-collection",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL016","Adirondack Scenery Glass Projector Slides","adirondack-scenery-glass-projector-slides",6
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL015","Bradford H. Divine Hunting Camp Slides Collection","bradford-h-divine-hunting-camp-slides-collection",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL028","Finch, Pruyn and Company Maps","finch-pruyn-and-company-maps",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL014","High Falls Club Photograph Collection","high-falls-club-photograph-collection",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL013","Grace Cogswell Photograph Collection","grace-cogswell-photograph-collection",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL012","George Marshall Family Photograph Collection","george-marshall-family-photograph-collection",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL010","Saranac Inn Photograph Collection","saranac-inn-photograph-collection",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL009","George Whitfield Butts Photograph Collection","george-whitfield-butts-photograph-collection",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL019","Jesswin Camp Photograph Collection","jesswin-camp-photograph-collection",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL008","Norman Foote Surveying Photograph Collection","norman-foote-surveying-photograph-collection",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL011","Fulton Chain Lakes Photograph Collection","fulton-chain-lakes-photograph-collection",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL002","Nehasane Park Photograph Collection","nehasane-park-photograph-collection",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VLN023","Hanmer Boatshop Photograph Collection","hanmer-boatshop-photograph-collection",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL007","Emporium Lumber Company Photograph Collection","emporium-lumber-company-photograph-collection",11
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL006","Margaret Hort Trudeau Sanatorium Photograph Collection","margaret-hort-trudeau-sanatorium-photograph-collection",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL005","Seneca Ray Stoddard Adirondack Stereoviews","seneca-ray-stoddard-adirondack-stereoviews",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL004","Moss Lake Camp Photograph Collection","moss-lake-camp-photograph-collection",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL003","Ferris Meigs Logging Photograph Collection","ferris-meigs-logging-photograph-collection",1
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL001","Richard Linke Collection of Adirondacks Re-Viewed Photographs","richard-linke-collection-adirondacks-re-viewed-photographs",0
"Northern New York Library Network","NNYLN002","Adirondack Experience","VNL026","Mathias Oppersdorff Adirondack Faces Photograph Collection","mathias-oppersdorff-adirondack-faces-photograph-collection",0
"Northern New York Library Network","NNYLN007","Adirondack History Center Museum - Essex County Historical Society","NNYLN02-002","Mining Collection","mining-collection",0
"Northern New York Library Network","NNYLN007","Adirondack History Center Museum - Essex County Historical Society","NNYLN02-001","General Collection","general-collection",0
"Capital District Library Council","CDLC001","Albany College of Pharmacy and Health Sciences - Paul Byrnes '34 Archives","VJM0003","Conglomerate Class Photos","conglomerate-class-photos",0
"Capital District Library Council","CDLC001","Albany College of Pharmacy and Health Sciences - Paul Byrnes '34 Archives","VJM0002","Commencement","commencement",1
"Capital District Library Council","CDLC001","Albany College of Pharmacy and Health Sciences - Paul Byrnes '34 Archives","VJM0001","O'Brien Building Photo Collection","obrien-building-photo-collection",0
"Capital District Library Council","CDLC001","Albany College of Pharmacy and Health Sciences - Paul Byrnes '34 Archives","VJM0007","Yearbooks","yearbooks",0
"Capital District Library Council","CDLC001","Albany College of Pharmacy and Health Sciences - Paul Byrnes '34 Archives","VJM0004","Alumni News and PostScript","alumni-news-and-postscript",0
"Capital District Library Council","CDLC043","Albany County Historical Association at Ten Broeck Mansion","NYALCHA003","Acorn Stove Trade Cards","acorn-stove-trade-cards",3
"Capital District Library Council","CDLC043","Albany County Historical Association at Ten Broeck Mansion","NYALCHA001","Dongan Charter Parade 1936 Albany New York","dongan-charter-parade-1936-albany-new-york",2
"Capital District Library Council","CDLC043","Albany County Historical Association at Ten Broeck Mansion","NYALCHA002","ACHA Postcard Collection","acha-postcard-collection",1
"Capital District Library Council","CDLC002","Albany Institute of History and Art","AIQ001","Albany Institute of History and Art Library Digital Images","albany-institute-history-and-art-library-digital-images",10
"Capital District Library Council","CDLC003","Albany Law School","YZA004","Albany Law School Collection","albany-law-school-collection",0
"Capital District Library Council","CDLC003","Albany Law School","YZA002","Albany Law School Architecture Collection","albany-law-school-architecture-collection",0
"Capital District Library Council","CDLC003","Albany Law School","YZA001","Albany Law School Alumni","albany-law-school-alumni",0
"Capital District Library Council","CDLC004","Albany Public Library","XFN001","Views of Albany, New York","views-albany-new-york",0
"Capital District Library Council","CDLC004","Albany Public Library","XFN002","Urban Renewal in Albany, New York","urban-renewal-albany-new-york",0
"Capital District Library Council","CDLC004","Albany Public Library","XFN003","Residential Albany, New York","residential-albany-new-york",0
"Capital District Library Council","CDLC004","Albany Public Library","XFN004","Albany, NY School Yearbooks","albany-ny-school-yearbooks",11
"Capital District Library Council","CDLC004","Albany Public Library","XFN007","Businesses of Albany, New York","businesses-albany-new-york",11
"Capital District Library Council","CDLC004","Albany Public Library","XFN005","Commercial Streets of Albany, New York","commercial-streets-albany-new-york",1
"Capital District Library Council","CDLC004","Albany Public Library","XFN006","Religious Albany, New York","religious-albany-new-york",0
"Southeastern New York Library Resources Council","SENYLRC070","Albert Wisner Public Library","VHD001","Best Threads: Fashions of Warwick, New York circa 1900","best-threads-fashions-warwick-new-york-circa-1900",8
"Southeastern New York Library Resources Council","SENYLRC070","Albert Wisner Public Library","VHD002","Lydia Sayer Hasbrouck Dress Reform Collection","lydia-sayer-hasbrouck-dress-reform-collection",0
"South Central Regional Library Council","SCLRC001","Alfred University - Herrick Library","YAH001","Alfred University Postcard Collection","alfred-university-postcard-collection",1
"Capital District Library Council","CDLC005","Altamont Free Library","XGQ001","Altamont, NY History Collection","altamont-ny-history-collection",49
"Central New York Library Resources Council","CLRC001","American Pomeroy Historic Genealogical Association","SRR110","Truman E. Pomeroy Family Photographs","truman-e-pomeroy-family-photographs",0
"Central New York Library Resources Council","CLRC001","American Pomeroy Historic Genealogical Association","SRR062","Frederick Lawrence Pomeroy Collection","frederick-lawrence-pomeroy-collection",0
"Northern New York Library Network","NNYLN003","Antique Boat Museum","NNYLN05","Gar Wood Collection","gar-wood-collection",0
"Rochester Regional Library Council","RRLC001","Appellate Division Fourth Department Law Library","VRT003","Courthouses of Rochester, New York","courthouses-rochester-new-york",0
"Rochester Regional Library Council","RRLC001","Appellate Division Fourth Department Law Library","VRT001","Judicial Portrait Collection","judicial-portrait-collection",0
"Central New York Library Resources Council","CLRC002","Baldwinsville Public Library","SRR141","New York Ordnance Works Collection ","new-york-ordnance-works-collection",0
"Central New York Library Resources Council","CLRC002","Baldwinsville Public Library","SRR125","Baldwinsville Yearbook Collection","baldwinsville-yearbook-collection",426
"Central New York Library Resources Council","CLRC002","Baldwinsville Public Library","SRR079","Christopher Collection","christopher-collection",27
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","VVP008","Ward Manor","ward-manor",0
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","VVP009","Bard Student Fire Department","bard-student-fire-department",2
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","VVP011","Bard College Architecture, Past and Present","bard-college-architecture-past-and-present",1
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","VVP002","Olin Dows Collection","olin-dows-collection",0
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","VVP012","Bard Family Papers","bard-family-papers",10
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","VVP003","Harvey Fite Collection","harvey-fite-collection",0
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","VVP013","Bard College Presidents","bard-college-presidents",1
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","VVP004","Paul Hartzell Album","paul-hartzell-album",0
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","VVP014","Bard Class Photos","bard-class-photos",0
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","VVP005","Peter Aaron Collection","peter-aaron-collection",0
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","VVP006","Tivoli Collection","tivoli-collection",0
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","VVP015","Elie Shneour Collection","elie-shneour-collection",0
"Southeastern New York Library Resources Council","SENYLRC039","Bard College - Archives and Special Collections","VVP007","Violetta White Delafield Mushroom Collection","violetta-white-delafield-mushroom-collection",0
