# ----------------------------------------
# All Web Site Data
# Drupal-Side Statistics with Chuck
# 20200401-20200430
# ----------------------------------------

Drupal-Side Stats (Content Group),Pageviews
(not set),"1,095,716"
massena-central-school-yearbooks-collection,"1,384"
st-lawrence-central-school-yearbooks-collection,"1,064"
ogdensburg-city-school-district-yearbook-collection,925
st-lawrence-lewis-board-educational-services,907
west-genesee-yearbooks,618
potsdam-central-school-yearbooks-collection,577
watertown-high-school-yearbooks-collection,554
buffalo-city-directories,510
hermon-dekalb-central-school-yearbooks-collection,436
gouverneur-central-school-yearbooks-collection,427
lisbon-central-school-yearbooks,388
canton-central-school-yearbooks-collection,383
baldwinsville-yearbook-collection,379
oneida-yearbook-collection,375
norwood-norfolk-central-school-yearbooks,337
heuvelton-central-school-yearbooks,327
holland-land-company-maps,325
madrid-waddington-central-school-yearbooks-collection,308
cradle-aviation-museum,300
buffalo-ku-klux-klan-membership-list,272
buffalo-and-erie-county-public-library,264
clifton-fine-central-school-yearbooks-collection,252
colton-pierrepont-central-school-yearbooks-collection,250
collection_type/yearbooks,244
oceanside-high-school-yearbooks,241
tupper-lake-high-school-yearbook,226
edwards-knox-central-school-yearbooks-collection,215
high-school-yearbooks-chemung-county,201
utica-free-academy-yearbooks,185
whitesboro-school-yearbooks,183
lake-view-cemetery-records,181
parishville-hopkinton-central-school-yearbooks,171
misci-museum-innovation-and-science,162
buffalo-address-book-and-family-directory,152
clarksonian-yearbooks-collection,152
schenectady-county-historical-society,151
ontarian-yearbooks,149
war-1812,145
pioneer-yearbooks,140
historic-hempstead,139
freeport-historic-photographs,137
liverpool-yearbook-collection,136
harrisville-central-school-yearbooks,128
historic-huguenot-street,127
bayport-yearbooks,125
cardinal-suny-plattsburgh-college-yearbooks,121
huntington-historical-maps,121
tuxedo-park-library,115
wivb-tv-television-news-film-and-video-archives,115
history-town-amherst-new-york-1818-1965,112
massapequa-public-library,112
morristown-central-school-yearbooks,112
honeoye-falls-lima-yearbook-collection,104
gridiron-yearbooks,103
brentwood-historical-photographs,99
nazareth-college-gleaner-collection,97
love-canal-images,96
newburgh-free-library,95
canal-society-new-york-state,94
bellmore-historical-photographs,92
sayville-library,90
farmingdale-historical-collection,89
camp-mills-photographs,86
fayetteville-manlius-yearbooks,85
putnam-county-ny-history-collections,84
doll-collection,82
buffalo-postcards,81
homelands-exhibition,80
rockville-centre-public-library,80
huntington-town-clerks-archives,79
erie-canal-museum,78
flood-1972-genesee-river-letchworth-state-park,78
civil-war-carte-de-visite-collection,77
masten-park-high-school-chronicle-yearbooks,77
university-rochester-memorial-art-gallery,76
historical-society-east-rockaway-and-lynbrook,75
st-marys-academy-yearbooks-collection,75
