# ----------------------------------------
# All Web Site Data
# Drupal-Side Statistics with Chuck
# 20200201-20200229
# ----------------------------------------

Drupal-Side Stats (Content Group),Pageviews
(not set),"491,378"
st-lawrence-lewis-board-educational-services,416
buffalo-ku-klux-klan-membership-list,318
cradle-aviation-museum,294
buffalo-city-directories,289
holland-land-company-maps,268
watertown-high-school-yearbooks-collection,263
clarksonian-yearbooks-collection,235
baldwinsville-yearbook-collection,190
ogdensburg-city-school-district-yearbook-collection,184
bentley-snow-crystal-collection,183
massena-central-school-yearbooks-collection,180
potsdam-central-school-yearbooks-collection,172
ellis-hospital-collection,163
oceanside-high-school-yearbooks,163
buffalo-and-erie-county-public-library,150
levittown-history-collection,147
gridiron-yearbooks,144
freeport-historic-photographs,141
historic-hempstead,138
canton-central-school-yearbooks-collection,122
lake-view-cemetery-records,122
polster-photographs-lockport-ny,119
gouverneur-central-school-yearbooks-collection,117
nazareth-college-gleaner-collection,117
whitesboro-school-yearbooks,117
putnam-county-ny-history-collections,114
crouse-hospital-history,108
columbia-greene-community-college-library-media-services,107
war-1812,107
cardinal-suny-plattsburgh-college-yearbooks,106
frederick-douglass-paper,105
schenectady-county-historical-society,104
rensselaer-county-historical-society,102
suny-fredonia-daniel-reed-library,101
oneida-yearbook-collection,99
heuvelton-central-school-yearbooks,98
history-black-community-syracuse,97
utica-free-academy-yearbooks,97
massapequa-public-library,93
staatsburg-library-image-collection,91
tupper-lake-high-school-yearbook,91
new-york-ordnance-works-collection,86
darwin-d-martin-photograph-collection,84
staatsburg-library,84
pioneer-yearbooks,83
tuxedo-park-library,81
syracuse-central-high-school-archives,80
capital-district-radio-and-television-broadcasting,77
norwood-norfolk-central-school-yearbooks,77
clifton-fine-central-school-yearbooks-collection,76
st-john-fisher-college,76
1964-rochester-riot-photographs,75
hermon-dekalb-central-school-yearbooks-collection,75
northport-east-northport-photograph-collection,75
rockville-centre-public-library,74
madrid-waddington-central-school-yearbooks-collection,71
nyack-library,71
bayport-yearbooks,70
love-canal-images,70
douglass-monthly,69
holland-land-company-archives,68
railroad-photograph-collection,68
postcards,67
great-neck-library,65
ontarian-yearbooks,65
camp-mills-photographs,62
freeport-memorial-library,61
st-lawrence-central-school-yearbooks-collection,61
history-town-amherst-new-york-1818-1965,60
staatsburg-library-ccc-collection,60
historic-huguenot-street,58
onondaga-county-public-library-central-library,58
crystal-beach,57
normal-leader,57
paul-smiths-college-joan-weill-adirondack-library,57
bellmore-historical-photographs,56
brentwood-historical-photographs,56
honeoye-falls-lima-yearbook-collection,56
port-washington-main-street-collection,56
west-genesee-yearbooks,56
allan-herschell-ride-archive,55
civil-war-carte-de-visite-collection,55
nickell-collection-dr-rv-pierce-medical-artifacts,55
rambler-newsletter,55
buffalo-history-museum,54
mastics-moriches-shirley-community-library,54
working-erie-canal,54
buffalo-address-book-and-family-directory,53
historical-society-east-rockaway-and-lynbrook,53
collection_type/yearbooks,52
erie-canal-museum,52
george-nathan-newman-collection-photographs-vanished-and-vanishing-buffalo,52
western-new-york-county-atlases,52
huntington-town-clerks-archives,50
lisbon-central-school-yearbooks,50
new-national-era,50
saint-regis-mohawk-tribe,50
bethlehem-public-library,49
colton-pierrepont-central-school-yearbooks-collection,49
farmingdale-historical-collection,49
newburgh-free-library,49
port-washington-public-library,49
tupper-lake-goff-nelson-memorial-library,49
arthur-koweek-collection-hudson-urban-renewal,48
st-marys-academy-yearbooks-collection,48
northport-east-northport-public-library,47
canal-society-new-york-state,46
edwards-knox-central-school-yearbooks-collection,46
field_alpha_sort/S,46
buffalo-postcards,45
farmingdale-state-college-thomas-d-greenley-library,45
fenimore-art-museum,45
freeport-high-school-yearbooks-and-commencement-programs,45
kay-flickinger-dockstader-papers-1910-1995,45
town-clifton-park-history-collection,45
misci-museum-innovation-and-science,44
putnam-county-historians-office-digital-collection,44
175th-anniversary-buffalo-erie-county-public-library,43
clifton-park-halfmoon-public-library,43
field_alpha_sort/B,43
guilderland-public-library,43
historical-photographs-east-rockaway,42
images-rockland-county,42
north-star,42
oswego-historical-society,42
rockville-centre-historic-village-photographs,42
st-lawrence-university-special-collections-and-vance-university-archives,42
geneva-medical-college-1834-1871,41
geneva-ny-city-directories,41
hempstead-public-library,41
henry-page-historical-files,41
historical-society-rockland-county,41
ilion-free-public-library,41
archacki-cartoons,40
clarkson-university-harriet-call-burnap-memorial-library,40
field_alpha_sort/C,40
high-school-yearbooks-chemung-county,40
kent-historical-society-digital-collection,40
library-association-rockland-county-new-city-library,40
parishville-hopkinton-central-school-yearbooks,40
baldwinsville-public-library,39
clinton-liberal-institute,39
fayetteville-manlius-yearbooks,39
nioga-library-system-niagara-falls-public-library,39
suny-upstate-medical-university-health-sciences-library,39
albion-winegar-tourgee-collection,38
historic-red-hook,38
masten-park-high-school-chronicle-yearbooks,38
culinary-institute-america-archives-and-special-collections,37
empire-forester-yearbooks,37
historical-society-massapequas-collection,37
beauchamp-branch-photodocumentation-project-1994,36
early-history-potsdam,36
je-me-souviensi-remember-presenting-and-preserving-heritage-upstate-new-yorks-franco,36
liverpool-yearbook-collection,36
merrick-historical-photographs,36
merrick-library,36
new-york-state-military-museum-and-veterans-research-center,36
african-repository-and-colonial-journal,35
historic-rockville-centre-postcards,35
village-manlius-collection,35
geneva-historical-society,34
scarsdale-public-library,34
st-patricks-high-school,34
state-university-new-york-plattsburgh-feinberg-library,34
whaling-museum-and-education-center,34
19th-century-monographs-history-western-new-york,33
albert-r-stone-negative-collection,33
ellenville-public-library-museum,33
pan-american-exposition-collection,33
27th-division-world-war-two,32
buffalo-photograph-collection-lantern-slides-circa-1890-1910,32
dunham-public-library,32
early-canastota-collection,32
friends-historic-kingston,32
mark-twain-collection,32
15th-new-york-national-guard-enlistment-records,31
jamestown-and-olean-ny-city-directories-1875-1916,31
residential-albany-new-york,31
south-mountains-collection,31
tuxedo-park-historic-photographs,31
1825-pivotal-year-niagara-frontier,30
garden-city-public-library,30
glens-falls-hometown-usa,30
great-neck-photographs-collection,30
half-hollow-hills-historic-melville,30
hicksville-public-library,30
newburgh-heritage-collection,30
tri-village-area-directories,30
african-american-presence-hudson-valley,29
garden-city-village-archives-collection,29
greene-county-libraries-association,29
mcgraw-historical-society,29
niagara-county-community-college-henrietta-g-lewis-library,29
suny-college-environmental-science-and-forestry-moon-library,29
colton-museum-and-historical-society,28
culinary-institute-america-menu-collection,28
field_alpha_sort/M,28
historical-maps-ithaca-and-tompkins-county,28
hudson-river-maritime-museum,28
images-kingston-new-york,28
new-york-paris-race,28
paul-smiths-college-st-regian-yearbooks-collection,28
east-meadow-collection,27
field_alpha_sort/O,27
history-waterville-collection,27
hudson-area-library,27
major-william-welch-document-collection,27
mohawk-valley-boy-scouts-collection,27
photographs-mary-flagler-cary,27
steele-memorial-library,27
strong-national-museum-play,27
albany-ny-school-yearbooks,26
bayport-blue-point-historic-postcards,26
chautauqua-county-historical-society,26
grumman,26
old-houses-north-country,26
roswell-p-flower-memorial-library,26
union-college,26
west-hempstead-local-history,26
bayport-bluepoint-public-library,25
cornwall-images-and-documents,25
cure-cottages-saranac-lake-ny,25
historical-photographs-lynbrook,25
ithaca-college-library,25
library-association-rockland-county,25
liverpool-public-library,25
long-island-airfields,25
maybrook-switching-terminal-collection,25
newburgh-glebe-documents,25
suny-new-paltz-sojourner-truth-library,25
agricola-and-paysonian-yearbooks,24
bethpage-historical-collection,24
camp-syracuse,24
champlain-canal-collection,24
crandall-public-library,24
huntington-legal-manuscripts,24
ithaca-tax-assessment-photographs,24
morristown-central-school-yearbooks,24
ny-ontario-western-railway-photographs,24
pearl-river-ny-history-collection,24
siena-college,24
ulster-county-historical-society,24
cortland-county-historical-society,23
fairfield-medical-college,23
field_alpha_sort/G,23
geneva-public-library,23
nehasane-park-photograph-collection,23
west-hempstead-public-library,23
western-new-york-index,23
20th-century-remains-genesee-valley-canal,22
chester-historical-society,22
elizabeth-blackwell,22
elting-memorial-library-haviland-heidgerd-historical-collection,22
ilion-urban-renewal-collection,22
nyh_topic/people,22
palisades-interstate-park-commission,22
waterbury-mill,22
brockway-motor-trucks-collection,21
bryant-historic-postcards,21
field_alpha_sort/R,21
field_alpha_sort/S?page=11,21
national-anti-slavery-standard,21
thatcher-glass-manufacturing-company-collection,21
tuxedo-park-photo-albums,21
wivb-tv-television-news-film-and-video-archives,21
adirondack-mines-photograph-collection,20
albany-public-library,20
buffalo-broadcasters-association,20
burt-loescher-collection-rogers-rangers-french-and-indian-war,20
christopher-collection,20
forest-lawn-cemetery-margaret-l-wendt-archive-and-resource-center,20
ithaca-college-yearbooks,20
moss-lake-camp-photograph-collection,20
niagara-county-historical-society,20
oneida-public-library,20
orange-county-atlas-collection,20
oriskany-village-museum,20
republic-aviation,20
suny-new-paltz-college-yearbook-collection,20
twentieth-century-club-buffalo,20
adirondack-history-center-museum-essex-county-historical-society,19
albany-college-pharmacy-and-health-sciences-paul-byrnes-34-archives,19
cornwall-public-library,19
erieville-nelson-historic-collection,19
hartwick-seminary-records-hartwick-college,19
hicksville-historic-photographs,19
historic-postcards-lynbrook-ny,19
hudson-river-day-line-collection,19
kirkland-town-library-art-collection,19
long-island-manufacturers,19
manlius-library,19
maureen-osullivan-cushing-collection-maria-college-albany-ny,19
new-york-central-college,19
oswego-public-library,19
rochester-ny-city-directories,19
westbury-local-history,19
adirondack-experience,18
calderone-theatre-collection,18
canastota-public-library,18
field_alpha_sort/W,18
horse-thieves-collection,18
maybrook-railroad-museum,18
national-freedman,18
nazareth-college-yearbooks-collection,18
nioga-library-system-lockport-public-library,18
postcard-collection,18
university-buffalo-libraries-digital-collections,18
albert-wisner-public-library,17
bellmore-memorial-library,17
bob-knight-postcard-collection,17
emporium-lumber-company-photograph-collection,17
holy-family-high-school-yearbooks,17
hudson-river-valley-institute,17
local-history-room-map-collection,17
manhasset-photograph-collection,17
newburgh-municipal-records,17
nioga-library-system,17
northport-east-northport-postcard-collection,17
orange-county-community-college-history-collection,17
polish-community-syracuse-ny,17
solvay-geddes-historical-society,17
state-university-new-york-oswego-penfield-library,17
wilderstein-historic-site,17
1913-watervliet-flood,16
aggazette,16
american-humane-association-be-kind-animals-poster-collection,16
buffalo-museum-science,16
camp-russell-boy-scouts-collection,16
college-saint-rose-neil-hellman-library,16
corning-flood-1972,16
field_alpha_sort/H,16
field_alpha_sort/L,16
field_alpha_sort/P,16
gold-coast-public-library,16
goshen-public-library-historical-society,16
hamilton-burr-duel-collection,16
industries-old-new-hartford-collection,16
nathan-s-kline-institute-psychiatric-research,16
nyh_topic/military-war,16
olin-dows-collection,16
oswego-city-directories,16
pan-american-exposition-scrapbooks,16
somers-historical-society,16
utica-college-center-historical-research,16
valley-cottage-ny-history-collection,16
violetta-white-delafield-mushroom-collection,16
yearbooks,16
1935-federal-improvement-aerial-survey,15
big-flats-historical-society-and-museum,15
cny-chapter-national-railway-historical-society,15
digital-long-island,15
emily-howland-papers,15
encyclopedia-union-college-history,15
field_alpha_sort/B?page=9,15
field_alpha_sort/E,15
field_alpha_sort/N,15
field_alpha_sort/S?page=1,15
george-f-johnson-memorial-library,15
highland-hospital-1940-1949-school-nursing-during-world-war-ii,15
history-center-tompkins-county,15
huntington-historical-photographs,15
huntington-public-library,15
