,3
15th-new-york-national-guard-enlistment-records,31
175th-anniversary-buffalo-erie-county-public-library,43
1825-pivotal-year-niagara-frontier,30
1909-hudson-fulton-celebration-postcards,11
1913-watervliet-flood,16
1935-federal-improvement-aerial-survey,15
1964-rochester-riot-photographs,75
19th-century-monographs-history-western-new-york,33
19th-century-monographs-history-wny,1
1st-methodist-protestant-ch-b3,2
1st-methodist-protestant-chb4,2
20th-century-remains-genesee-valley-canal,22
27th-division-world-war-two,32
abby-and-will-csaplar-lake-george-collection,5
abram-lincoln-letter-collection,1
acha-postcard-collection,2
adirondack-architectural-heritage,8
adirondack-experience,18
adirondack-history-center-museum-essex-county-historical-society,19
adirondack-map-collection,9
adirondack-mines-photograph-collection,20
adirondack-scenic-photograph-collection,1
african-american-presence-hudson-valley,29
african-repository-and-colonial-journal,35
aggazette,16
aGlzdG9yaW,1
agnes-elliott-collection,2
agricola-and-paysonian-yearbooks,31
albany-city-and-county-war-council,8
albany-college-pharmacy-and-health-sciences-paul-byrnes-34-archives,19
albany-county-historical-association-ten-broeck-mansion,3
albany-institute-history-and-art,5
albany-institute-history-and-art-library-digital-images,7
albany-law-school,5
albany-law-school-alumni,2
albany-law-school-architecture-collection,2
albany-law-school-collection,3
albany-ny-school-yearbooks,26
albany-public-library,20
albert-r-stone-negative-collection,33
albert-wisner-public-library,17
albion-winegar-tourgee-collection,38
alexis-johnson-collection,2
alfred-university-herrick-library,8
alfred-university-new-york-state-college-ceramics,8
alfred-university-postcard-collection,2
allan-herschell-ride-archive,55
allen-g-tripp-md-papers,2
almquist-green-lakes-collection,1
Alumni-News-and-PostScript,1
alumni-news-and-postscript,1
american-and-foreign-anti-slavery-reporter,9
american-humane-association-be-kind-animals-poster-collection,16
american-legion-post-342,1
american-pomeroy-historic-genealogical-association,7
anna-e-wilcox-collection,1
annual-bulletins,4
antique-boat-museum,11
appellate-division-fourth-department-law-library,7
archacki-cartoons,40
archives-holland-land-company,1
arendtiana-collection,2
arthur-b-gregg-collection,6
arthur-koweek-collection-hudson-urban-renewal,48
ashokan-reservoir-lost-profit-testimonies,3
atari-coin-op-division-corporate-records-1969-2002,9
atlas-hudson-river-valley-new-york-city-troy,7
automobile-potsdam,2
baker-cederberg-museum-and-archives-collection,6
baldwinsville-public-library,39
baldwinsville-yearbook-collection,194
bard-class-photos,7
bard-college-architecture-past-and-present,2
bard-college-archives-and-special-collections,14
bard-college-presidents,3
bard-college-radio-wxbc,1
bard-family-papers,5
bard-student-fire-department,2
bard-tivoli-history-collection,3
barge-canal-construction-middle-division,8
barge-canal-construction-western-division,5
bayles-pamphlets,5
bayport-blue-point-historic-postcards,26
bayport-bluepoint-public-library,25
bayport-fire-department,6
bayport-yearbooks,70
beauchamp-branch-photodocumentation-project-1994,36
bellmore-historical-association-bellmore-memorial-library,3
bellmore-historical-photographs,56
bellmore-memorial-library,17
bellmore-postcards,2
belva-lockwood-manuscript-collection,1
benjamin-raymond-record-sales-1803-1818,1
bentley-snow-crystal-collection,183
best-threads-fashions-warwick-new-york-circa-1900,5
bethlehem-public-library,49
bethpage-historical-collection,24
bethpage-public-library,6
big-flats-and-chemung-county-historical-collection,8
big-flats-historical-society-and-museum,15
binghamton-university-binghamton-university-libraries,4
blue-point-fire-department-collection,9
bmNjYy1hbm,2
bob-knight-postcard-collection,17
books-and-articles-collection,7
bowers-collection,11
boy-scouts-america-troop-73-voorheesville-new-york-collection,5
bradford-h-divine-hunting-camp-slides-collection,2
brasher-postcards,4
brentwood-historical-collection,2
brentwood-historical-documents,1
brentwood-historical-photographs,56
brentwood-pen-and-ink-drawings,1
brentwood-postcards,4
brentwood-public-library,10
brockport-village-glass-plate-negatives,3
Brockway-Motor-Trucks-Collection,1
brockway-motor-trucks-collection,21
broome-county-public-library,9
bryant-historic-postcards,21
bryant-library,3
buffalo-address-book-and-family-directory,53
buffalo-and-erie-county-public-library,150
buffalo-broadcasters-association,20
buffalo-central-terminal-scrapbook,2
buffalo-city-directories,289
buffalo-history-museum,54
buffalo-ku-klux-klan-membership-list,320
buffalo-municipal-housing-authority-report-maps,9
buffalo-museum-science,16
buffalo-niagara-heritage-village,4
buffalo-olmsted-parks-conservancy,6
buffalo-olmsted-parks-postcards-stereo-views,8
buffalo-photograph-collection-lantern-slides-circa-1890-1910,32
buffalo-postcards,45
buffalo-public-school-library-system,4
building-franklin-d-roosevelt-presidential-library,2
bullis-family-collection,4
burnap-collection-english-pottery-and-porcelain,2
burt-loescher-collection-rogers-rangers-french-and-indian-war,20
businesses-albany-new-york,4
butler-family-papers,6
cairo-public-library-digital-collection,3
calderone-theatre-collection,18
caldwell-family-collection,2
calvin-coolidge-paul-smiths,3
camp-mills-photographs,62
camp-russell-boy-scouts-collection,16
camp-syracuse,24
camp-upton-postcards,5
canal-society-new-york-state,46
canastota-public-library,18
canastota-schools-collection,7
canisius-college-andrew-l-bouwhuis-library,10
canisius-college-buildings-history-and-maintenance,1
canisius-college-coaches-and-sports,1
canisius-college-course-catalogs,2
canisius-college-presidents,1
canisius-college-student-activities,2
canton-central-school-yearbooks-collection,122
capital-district-library-council,1
capital-district-library-council-albany-ny,1
capital-district-radio-and-television-broadcasting,110
cardinal-suny-plattsburgh-college-yearbooks,106
carl-schmidt-collection-two-dimensional-drawings,3
carrie-jones-family-collection,1
cary-institute-ecosystem-studies,5
catskill-public-library-digital-collection,8
center-inquiry-center-inquiry-libraries,3
center-photography-woodstock-collection,2
central-new-york-canal-collection,1
central-new-york-library-resources-council,5
central-square-oral-history-collection,1
champlain-canal-collection,25
chapter-activities-central-new-york-chapter-nrhs,9
charles-rand-penney-trail,6
charles-sylvester-piersaull-photographs,2
chatham-high-school-commencement-programs,2
chatham-public-library,6
chatham-public-library-yearbook-collection,4
chautauqua-cattaraugus-library-system,3
chautauqua-cattaraugus-library-system-james-prendergast-library,11
chautauqua-cattaraugus-library-system-lakewood-memorial-library,1
chautauqua-cattaraugus-library-system-olean-public-library,5
chautauqua-county-historical-society,26
chemung-county-atlases,2
chemung-county-historical-society,1
chester-historical-society,22
chester-historical-society-collection,2
childrens-miracle-network,1
childwold-photograph-collection,5
chittenango-landing-canal-boat-museum,3
chittenango-landing-historic-photograph-collection,10
christian-investigator,3
christopher-collection,20
cHV0bmFtLW,1
city-hudson-postcards-collection,12
civil-war-carte-de-visite-collection,55
civil-war-collection,12
civil-war-letters,11
civil-war-letters-and-journal-charles-f-weller,2
Clark-Rice-Photography-Collection,1
clark-rice-photography-collection,7
clarke-family-business-papers,2
clarke-family-correspondence,1
clarkson-family-history-collection,8
clarkson-family-photographs-collection,3
clarkson-ice-carnival-photographs,1
clarkson-ice-carnival-programs,5
clarkson-miscellaneous-collection,1
clarkson-university-harriet-call-burnap-memorial-library,40
clarkson-university-history-collection,11
clarkson-university-postcards-collection,5
clarksonian-yearbooks-collection,235
clarkstown-country-club,11
clifton-fine-central-school-yearbooks-collection,76
clifton-park-halfmoon-public-library,43
Clinton-Community-College-Douglas-Library,1
clinton-community-college-douglas-library,3
clinton-liberal-institute,39
cloudsplitter,4
clrc-archives,5
cny-chapter-national-railway-historical-society,15
