"Council","InstitutionID","InstitutionName","Path","Pageviews"
"Rochester Regional Library Council","RRLC001","Appellate Division Fourth Department Law Library","appellate-division-fourth-department-law-library",5
"Rochester Regional Library Council","RRLC003","Finger Lakes Community College","finger-lakes-community-college",0
"Rochester Regional Library Council","RRLC004","Geneva Historical Society","geneva-historical-society",0
"Rochester Regional Library Council","RRLC005","Geneva Public Library","geneva-public-library",0
"Rochester Regional Library Council","RRLC006","Henrietta Public Library","henrietta-public-library",0
"Rochester Regional Library Council","RRLC007","University of Rochester Medical Center - Highland Hospital","university-rochester-medical-center-highland-hospital",0
"Rochester Regional Library Council","RRLC008","Hobart and William Smith Colleges","hobart-and-william-smith-colleges",0
"Rochester Regional Library Council","RRLC009","Macedon Public Library","macedon-public-library",0
"Rochester Regional Library Council","RRLC010","University of Rochester - Memorial Art Gallery","university-rochester-memorial-art-gallery",0
"Rochester Regional Library Council","RRLC011","Mendon Public Library","mendon-public-library",0
"Rochester Regional Library Council","RRLC012","Naples Library","naples-library",0
"Rochester Regional Library Council","RRLC013","Nazareth College","nazareth-college",0
"Rochester Regional Library Council","RRLC014","Newark Public Library","newark-public-library",0
"Rochester Regional Library Council","RRLC015","Perry Public Library","perry-public-library",0
"Rochester Regional Library Council","RRLC016","Rochester Civic Garden Center","rochester-civic-garden-center",0
"Rochester Regional Library Council","RRLC017","Rochester Genealogical Society","rochester-genealogical-society",0
"Rochester Regional Library Council","RRLC018","RIT Libraries, Cary Graphic Arts Collection","rit-libraries-cary-graphic-arts-collection",0
"Rochester Regional Library Council","RRLC019","Rochester Regional Health - Rochester Medical Museum & Archvies","rochester-regional-health-rochester-medical-museum-archvies",0
"Rochester Regional Library Council","RRLC020","Rochester Museum & Science Center","rochester-museum-science-center",0
"Rochester Regional Library Council","RRLC021","Rochester Public Library","rochester-public-library",0
"Rochester Regional Library Council","RRLC022","Rochester Regional Library Council","rochester-regional-library-council",0
"Rochester Regional Library Council","RRLC023","Sonneberg Gardens and Mansion State Historic Park","sonneberg-gardens-and-mansion-state-historic-park",0
"Rochester Regional Library Council","RRLC024","St. John Fisher College","st-john-fisher-college",0
"Rochester Regional Library Council","RRLC025","The Strong National Museum of Play","strong-national-museum-play",0
"Rochester Regional Library Council","RRLC026","SUNY College at Brockport","suny-college-brockport",0
"Rochester Regional Library Council","RRLC027","SUNY Geneseo","suny-geneseo",0
"Rochester Regional Library Council","RRLC028","Town of Henrietta","town-henrietta",0
"Rochester Regional Library Council","RRLC029","University of Rochester Medical Center - Eastman Institute for Oral Health","university-rochester-medical-center-eastman-institute-oral-health",0
"Rochester Regional Library Council","RRLC030","Walworth Historical Society","walworth-historical-society",0
"Rochester Regional Library Council","RRLC031","University of Rochester - River Campus Libraries","university-rochester-river-campus-libraries",0
"Rochester Regional Library Council","RRLC032","University of Rochester Medical Center - Edward G. Miner Library","university-rochester-medical-center-edward-g-miner-library",0
"Rochester Regional Library Council","RRLC033","Ogden Farmers' Library","ogden-farmers-library",0
"Northern New York Library Network","NNYLN001","Adirondack Architectural Heritage","adirondack-architectural-heritage",7
"Northern New York Library Network","NNYLN002","Adirondack Experience","adirondack-experience",15
"Northern New York Library Network","NNYLN003","Antique Boat Museum","antique-boat-museum",1
"Northern New York Library Network","NNYLN004","Clarkson University - Harriet Call Burnap Memorial Library","clarkson-university-harriet-call-burnap-memorial-library",36
"Northern New York Library Network","NNYLN005","Clinton Community College - Douglas Library","clinton-community-college-douglas-library",0
"Northern New York Library Network","NNYLN006","Colton Museum and Historical Society","colton-museum-and-historical-society",24
"Northern New York Library Network","NNYLN007","Adirondack History Center Museum - Essex County Historical Society","adirondack-history-center-museum-essex-county-historical-society",23
"Northern New York Library Network","NNYLN008","Franklin County Historical and Museum Society","franklin-county-historical-and-museum-society",0
"Northern New York Library Network","NNYLN009","Jefferson Community College - Jefferson Community College Library","jefferson-community-college-jefferson-community-college-library",0
"Northern New York Library Network","NNYLN010","Keene Valley Library","keene-valley-library",0
"Northern New York Library Network","NNYLN011","Lake Placid-North Elba Historical Society","lake-placid-north-elba-historical-society",0
"Northern New York Library Network","NNYLN012","Lake Placid Olympic Museum","lake-placid-olympic-museum",0
"Northern New York Library Network","NNYLN013","Miner Institute","miner-institute",0
"Northern New York Library Network","NNYLN014","North Country Community College - North Country Community College Libraries","north-country-community-college-north-country-community-college-libraries",0
"Northern New York Library Network","NNYLN016","Ogdensburg Public Library","ogdensburg-public-library",0
"Northern New York Library Network","NNYLN017","Oswego Public Library","oswego-public-library",0
"Northern New York Library Network","NNYLN018","Paul Smith's College - Joan Weill Adirondack Library","paul-smiths-college-joan-weill-adirondack-library",0
"Northern New York Library Network","NNYLN020","Potsdam Public Museum","potsdam-public-museum",0
"Northern New York Library Network","NNYLN021","Saranac Lake Free Library","saranac-lake-free-library",0
"Northern New York Library Network","NNYLN022","St. Lawrence County Historical Association","st-lawrence-county-historical-association",0
"Northern New York Library Network","NNYLN023","St. Lawrence University - Special Collections and Vance University Archives","st-lawrence-university-special-collections-and-vance-university-archives",0
"Northern New York Library Network","NNYLN024","St. Lawrence-Lewis Board of Educational Services","st-lawrence-lewis-board-educational-services",0
"Northern New York Library Network","NNYLN025","Saint Regis Mohawk Tribe ","saint-regis-mohawk-tribe",0
"Northern New York Library Network","NNYLN026","State University of New York at Oswego - Penfield Library","state-university-new-york-oswego-penfield-library",0
"Northern New York Library Network","NNYLN027","State University of New York at Plattsburgh - Feinberg Library","state-university-new-york-plattsburgh-feinberg-library",0
"Northern New York Library Network","NNYLN028","State University of New York at Potsdam - College Libraries","state-university-new-york-potsdam-college-libraries",0
"Northern New York Library Network","NNYLN029","Northern New York Library Network","northern-new-york-library-network",0
"Northern New York Library Network","NNYLN030","Thousand Islands Arts Center","thousand-islands-arts-center",0
"Northern New York Library Network","NNYLN031","Thousand Islands Museum","thousand-islands-museum",0
"Northern New York Library Network","NNYLN032","Town and Village of Canton","town-and-village-canton",0
"Northern New York Library Network","NNYLN033","Traditional Arts in Upstate New York","traditional-arts-upstate-new-york",0
"Northern New York Library Network","NNYLN034","Tupper Lake Goff-Nelson Memorial Library","tupper-lake-goff-nelson-memorial-library",0
"Northern New York Library Network","NNYLN035","Volney Town History Center","volney-town-history-center",0
"Northern New York Library Network","NNYLN036","Roswell P. Flower Memorial Library","roswell-p-flower-memorial-library",0
"Northern New York Library Network","NNYLN037","North Country Underground Railroad Historical Association","north-country-underground-railroad-historical-association",0
"Northern New York Library Network","NNYLN038","West Monroe Historical Society","west-monroe-historical-society",0
"Northern New York Library Network","NNYLN039","Hepburn Library of Colton","hepburn-library-colton",0
"Northern New York Library Network","NNYLN040","Lake Placid Public Library","lake-placid-public-library",0
"Northern New York Library Network","NNYLN041","Ticonderoga Historical Society","ticonderoga-historical-society",0
"Northern New York Library Network","NNYLN042","State University of New York at Canton - Southworth Library","state-university-new-york-canton-southworth-library",0
"Northern New York Library Network","NNYLN043","Sally Ploof Hunter Memorial Library","sally-ploof-hunter-memorial-library",0
"Long Island Library Resources Council","LILRC001","Bayport-Bluepoint Public Library","bayport-bluepoint-public-library",17
"Long Island Library Resources Council","LILRC002","Bellmore Memorial Library","bellmore-memorial-library",11
"Long Island Library Resources Council","LILRC003","Bethpage Public Library","bethpage-public-library",9
"Long Island Library Resources Council","LILRC004","Brentwood Public Library","brentwood-public-library",4
"Long Island Library Resources Council","LILRC005","Bryant Library","bryant-library",3
"Long Island Library Resources Council","LILRC006","St. Joseph's College - Callahan Library","st-josephs-college-callahan-library",0
"Long Island Library Resources Council","LILRC007","Dowling College - Dowling College Library","dowling-college-dowling-college-library",6
"Long Island Library Resources Council","LILRC008","East Hampton Library","east-hampton-library",18
"Long Island Library Resources Council","LILRC009","East Meadow Public Library","east-meadow-public-library",7
"Long Island Library Resources Council","LILRC010","Farmingdale Public Library","farmingdale-public-library",16
"Long Island Library Resources Council","LILRC011","Freeport Memorial Library","freeport-memorial-library",0
"Long Island Library Resources Council","LILRC012","Garden City Public Library","garden-city-public-library",0
"Long Island Library Resources Council","LILRC013","Glen Cove Library","glen-cove-library",0
"Long Island Library Resources Council","LILRC014","Gold Coast Public Library","gold-coast-public-library",0
"Long Island Library Resources Council","LILRC015","Great Neck Library","great-neck-library",0
"Long Island Library Resources Council","LILRC016","Half Hollow Hills Community Library","half-hollow-hills-community-library",0
"Long Island Library Resources Council","LILRC017","Hempstead Public Library","hempstead-public-library",0
"Long Island Library Resources Council","LILRC018","Hicksville Public Library","hicksville-public-library",0
"Long Island Library Resources Council","LILRC019","Historical Society of East Rockaway and Lynbrook","historical-society-east-rockaway-and-lynbrook",0
"Long Island Library Resources Council","LILRC020","Hofstra University - Hofstra University Library","hofstra-university-hofstra-university-library",0
"Long Island Library Resources Council","LILRC021","Huntington Public Library","huntington-public-library",0
"Long Island Library Resources Council","LILRC022","Huntington Town Clerk's Archives","huntington-town-clerks-archives",0
