# ----------------------------------------
# All Web Site Data
# New Statistics with Chuck
# 20190924-20190930
# ----------------------------------------

New Statistics with Chuck (Content Group),Pageviews
sllboces,"17,123"
(not set),"5,795"
p16694coll47,"5,309"
VHB011,"3,523"
supl,"3,066"
livpub01,"2,842"
p16694coll83,"2,834"
sunypotsdam,"2,304"
tupper,"2,042"
p16694coll10,"1,718"
nyacklib,"1,616"
srr_oneida,"1,581"
clarkson,"1,429"
p15281coll12,"1,424"
p15281coll2,"1,322"
p16694coll20,"1,069"
p15281coll39,990
sunyoswego,964
wat,929
stlawu,923
p16694coll19,906
larc,888
sunynp,847
hsrc,679
hhs,677
p16694coll38,673
libertyhs,641
p16694coll109,613
p16694coll29,608
p16124coll2,594
p16694coll79,579
p16694coll43,539
wilderstein,524
p277601coll7,518
p16694coll45,500
VXU001,499
p16694coll104,488
XFM001,415
p16694coll25,412
NYHSR01,400
p16373coll49,396
JSY,380
p15281coll40,379
p15109coll6,366
VXU005,364
ngrl,351
VHB001,333
p16694coll1,332
p4020coll5,327
p16202coll7,326
p15281coll37,305
p15281coll33,303
p16373coll122,295
p16694coll65,293
VTP003,290
p16694coll50,288
gcla,271
p261501co1l12,261
paulsmiths,254
p15281coll19,251
tpl,237
newburgh,235
locustgrove,232
R6A001,230
pipc,227
nrpl,222
p16373coll50,218
chs,216
p16694coll26,213
p16373coll58,208
p15109coll7,207
p16694coll106,205
VTP005,202
elting,196
schmuse,183
p16694coll56,179
hrvi,176
srr_utica,176
scpl,175
hrmm,165
p16373coll130,165
p16373coll85,161
p16694coll7,157
hvcc,156
p15281coll10,148
p15281coll76,144
fhk,143
p15052coll5,142
nptr,141
cia,134
bard,133
p16373coll80,133
p16694coll51,133
p16694coll63,133
p17042coll3,133
p15281coll27,128
p277601coll3,128
nysmm,125
p15004coll9,123
p16694coll52,122
haal,120
pchc,118
srr_ecm,117
sunyup01,116
p16694coll105,114
ipl,109
buffalo-ku-klux-klan-membership-list,106
maria,106
p16694coll108,104
p15281coll20,100
p16694coll73,97
p16694coll6,95
cphpl,93
vbmc,93
jcclibrary,92
nhc,92
p16694coll72,92
siena,91
VVN001,90
cornpl,89
p16694coll39,89
p16694coll69,86
p16694coll96,86
p16694coll87,85
NYCSN,83
gpl,81
p15109coll11,81
hrh,80
srr_ocpl,80
NYMHG,79
p16694coll80,78
p16124coll1,77
fdr,72
xgy,72
p15085coll7,71
p16694coll49,71
srr_tromp,71
p16694coll75,70
st-lawrence-lewis-board-educational-services,70
p16694coll2,69
p16694coll78,69
p16694coll82,69
crandall,64
holland-land-company-maps,64
p16694coll58,63
gplhs,62
keenev,61
srr_enhs,61
p15281coll38,59
historic-hempstead,58
senatehouse,57
p16694coll18,56
p16694coll8,56
eplm,55
dudleyo,54
BUF006,53
NYCCH,53
norbn,52
ppm,52
p16694coll90,51
cardinal-suny-plattsburgh-college-yearbooks,50
p16694coll85,50
p277601coll5,49
freeport-historic-photographs,48
mlw,48
nyrud,48
p16373coll123,47
buffalo-city-directories,46
p15281coll59,46
p15281coll25,45
phs,44
qcgslis_f06,44
massena-central-school-yearbooks-collection,43
oceanside-high-school-yearbooks,43
rhs,43
gordon-muck-collection,42
oneida-yearbook-collection,42
p16694coll17,42
spl,42
ZCQ001,41
p16373coll115,40
sspl,39
bpl,38
p15281coll78,38
potsdam-central-school-yearbooks-collection,38
uchs,37
aiha,36
cpl,36
cradle-aviation-museum,36
historic-red-hook,36
p16694coll33,36
baldwinsville-yearbook-collection,34
buffalo-and-erie-county-public-library,34
p274401coll1,34
port-washington-public-library,34
massapequa-public-library,32
p15085coll6,32
p16694coll98,32
p277601coll8,32
tsc,32
vassar,32
p16694coll124,30
p16694coll5,30
qcgslis,30
clifton-fine-central-school-yearbooks-collection,29
dcc,29
p16694coll100,29
war-1812,29
lake-view-cemetery-records,28
northport-east-northport-public-library,28
VXU,27
p16694coll86,26
tuxedo-park-library,26
city-hudson-postcards-collection,25
colton-pierrepont-central-school-yearbooks-collection,25
slcha,25
adirondack-map-collection,24
culinary-institute-america-archives-and-special-collections,24
freeport-memorial-library,24
p16694coll54,24
p16694coll64,24
salfree,24
schenectady-county-historical-society,24
srr_sghs,24
ZBM,24
p16694coll57,23
sccc,23
VRT,23
lc,22
mrhs,22
p16694coll91,22
whitesboro-school-yearbooks,22
gouverneur-central-school-yearbooks-collection,21
hvvacc,21
shs,21
state-university-new-york-plattsburgh-feinberg-library,21
holland-land-company-archives,20
hsw,20
p15281coll154,20
p16694coll23,20
p16694coll9,20
tim,20
tupper-lake-high-school-yearbook,20
civil-war-carte-de-visite-collection,19
farmingdale-historical-collection,19
new-york-ordnance-works-collection,19
ogdensburg-city-school-district-yearbook-collection,19
p16694coll24,19
utica-free-academy-yearbooks,19
Grolier01,18
historic-huguenot-street,18
p16694coll3,18
p16694coll61,18
BSM001,17
historical-society-east-rockaway-and-lynbrook,17
historical-society-rockland-county,17
honeoye-falls-lima-yearbook-collection,17
je-me-souviensi-remember-presenting-and-preserving-heritage-upstate-new-yorks-franco,17
norwood-norfolk-central-school-yearbooks,17
oceanside-high-school-yearbooks?fbclid=IwAR3LsU_HoG_JNALRKhbpGlmgT-aSB0j7GIN9PzOkpgY5H0D3xDoOQsBHY9E,17
p16694coll15,17
strose,17
adkhistory,16
cary-institute-ecosystem-studies,16
mark-twain-collection,16
northport-east-northport-photograph-collection,16
p15052coll2,16
p15281coll8,16
p16124coll4,16
p16694coll13,16
albany-county-historical-association-ten-broeck-mansion,15
bayport-bluepoint-public-library,15
buffalo-history-museum,15
buffalo-photograph-collection-lantern-slides-circa-1890-1910,15
douglass-monthly,15
frederick-douglass-paper,15
history-black-community-syracuse,15
lisbon-central-school-yearbooks,15
madrid-waddington-central-school-yearbooks-collection,15
nazareth-college-gleaner-collection,15
nwkpld,15
p16694coll4,15
railroad-photograph-collection,15
raquette-river-dams-oral-history-project,15
suny-fredonia-daniel-reed-library,15
watertown-high-school-yearbooks-collection,15
west-hempstead-local-history,15
canton-central-school-yearbooks-collection,14
cgcmh,14
cies,14
crouse-hospital-history,14
heuvelton-central-school-yearbooks,14
oswego-historical-society,14
p16124coll6,14
p16694coll11,14
slfl,14
srr_ham,14
st-lawrence-central-school-yearbooks-collection,14
huntington-town-clerks-archives,13
marlboro,13
masten-park-high-school-chronicle-yearbooks,13
nnyg,13
p16694coll66,13
port-washington-main-street-collection,13
srr_sulaw,13
suny-upstate-medical-university-health-sciences-library,13
yu,13
field_alpha_sort/S,12
gene-horton-collection,12
geneva-historical-society,12
greene-county-libraries-association,12
hudson-area-library,12
hudson-river-maritime-museum,12
huntington-public-library,12
long-island-manufacturers,12
moffat-library-washingtonville,12
octagon-houses-collection,12
onondaga-county-public-library-central-library,12
p15281coll66,12
p15405coll1,12
sand-pumpings,12
afl,11
allan-herschell-ride-archive,11
colonial-manuscripts,11
fenimore-art-museum,11
geneva-medical-college-1834-1871,11
high-school-yearbooks-chemung-county,11
historical-society-massapequas-collection,11
love-canal-images,11
mendon-public-library,11
miner,11
p15281coll56,11
p16694coll110,11
p16694coll120,11
p261501coll7,11
rockville-centre-historic-village-photographs,11
1964-rochester-riot-photographs,10
albany-public-library,10
dewitt01,10
elting-memorial-library-haviland-heidgerd-historical-collection,10
freeport-high-school-yearbooks-and-commencement-programs,10
hofstra-estate-collection,10
j-n-adam-memorial-hospital,10
liberty-high-school-yearbooks,10
liverpool-yearbook-collection,10
mdpl,10
mv,10
nathan-s-kline-institute-psychiatric-research,10
p16694coll14,10
polster-photographs-lockport-ny,10
st-john-fisher-college,10
st-lawrence-university-special-collections-and-vance-university-archives,10
watervliet-public-library,10
175th-anniversary-buffalo-erie-county-public-library,9
adirondack-history-center-museum-essex-county-historical-society,9
bethlehem-public-library,9
camp-mills-photographs,9
east-meadow-collection,9
field_alpha_sort/N,9
history-town-amherst-new-york-1818-1965,9
locust-grove-estate,9
maria-college-occupational-therapy-department-assistive-device-collection,9
nehasane-park-photograph-collection,9
oneida-public-library,9
p15085coll2,9
p15281coll104,9
p15281coll75,9
p16124coll3,9
quitman,9
rensselaer-county-historical-society,9
rochester-genealogical-society,9
rockville-centre-public-library,9
siena-college,9
uccc,9
ulster-county-historical-society,9
village-new-york-mcgraw-history,9
vincent-astor-collection,9
volney,9
VX4,9
xfr,9
albert-r-stone-negative-collection,8
buffalo-broadcasters-association,8
clarksonian-yearbooks-collection,8
cny-chapter-national-railway-historical-society,8
corning-flood-1972,8
edwards-knox-central-school-yearbooks-collection,8
fayetteville-manlius-yearbooks,8
field_alpha_sort/B,8
grumman,8
history-waterville-collection,8
ilion-urban-renewal-collection,8
mcgraw-historical-society,8
national-anti-slavery-standard,8
nickell-collection-dr-rv-pierce-medical-artifacts,8
nor,8
oswego-city-directories,8
p15052coll3,8
p15281coll65,8
p16373coll59,8
p16694coll37,8
p16694coll60,8
wilderstein-historic-site,8
15th-new-york-national-guard-enlistment-records,7
african-repository-and-colonial-journal,7
agricola-and-paysonian-yearbooks,7
baldwinsville-public-library,7
bellmore-historical-photographs,7
bentley-snow-crystal-collection,7
best-threads-fashions-warwick-new-york-circa-1900,7
brentwood-historical-photographs,7
BUF005,7
buffalo-address-book-and-family-directory,7
burt-loescher-collection-rogers-rangers-french-and-indian-war,7
camp-syracuse,7
cgc,7
collection_type/yearbooks,7
ellenville-public-library-museum,7
encyclopedia-union-college-history,7
erie-canal-museum,7
gridiron-yearbooks,7
grove-sheldon-gilbert-portraits,7
historic-postcards-east-rockaway-ny,7
hudson-valley-technical-institute-1953-1958,7
huntington-legal-manuscripts,7
ithaca-college-library,7
levittown-history-collection,7
liberty-high-school-library,7
new-national-era,7
new-rochelle-public-library,7
nioga-library-system-lockport-public-library,7
p15052coll1,7
p15052coll4,7
p16694coll59,7
p16694coll94,7
pan-american-exposition-collection,7
paul-smiths-college-joan-weill-adirondack-library,7
putnam-county-ny-history-collections,7
rcich,7
srr_lfpl,7
tupper-lake-goff-nelson-memorial-library,7
union-college,7
university-rochester-memorial-art-gallery,7
village-manlius-collection,7
volney-town-history-center,7
west-monroe-historical-society,7
william-k-sanford-town-library,7
working-erie-canal,7
buffalo-municipal-housing-authority-report-maps,6
buffalo-postcards,6
crystal-beach,6
darwin-d-martin-photograph-collection,6
ernie-simon-collection,6
field_alpha_sort/F,6
field_alpha_sort/H,6
field_alpha_sort/M,6
field_alpha_sort/O,6
field_alpha_sort/R,6
fmcc,6
genesee-valley-hunt,6
goshen-public-library-historical-society,6
great-neck-library,6
harriet-martin-dey-photograph-collection,6
hudson-valley-community-college,6
huntington-archives,6
irvington-ny-history-collection,6
irvington-public-library,6
jervis-public-library,6
lake-placid-olympic-museum,6
manlius-library,6
marlboro-free-library,6
mastics-moriches-shirley-community-library,6
nccc-yearbooks,6
north-star,6
northport-east-northport-postcard-collection,6
orange-county-atlas-collection,6
p16694coll12,6
p16694coll36,6
pan-american-exposition-scrapbooks,6
rushton-collection,6
saint-regis-mohawk-tribe,6
srr_sph,6
st-patricks-high-school,6
student,6
suny-new-paltz-sojourner-truth-library,6
tps,6
village-voorheesville-historical-records,6
violetta-white-delafield-mushroom-collection,6
19th-century-monographs-history-western-new-york,5
bayport-yearbooks,5
catskill-public-library-digital-collection,5
chatham-public-library,5
chautauqua-cattaraugus-library-system-james-prendergast-library,5
chester-historical-society-collection,5
chittenango-landing-historic-photograph-collection,5
clarkson-university-harriet-call-burnap-memorial-library,5
clarkstown-country-club,5
collection_type/yearbooks?page=1,5
college-saint-rose-neil-hellman-library,5
cornwall-images-and-documents,5
crandall-public-library,5
culinary-institute-america-menu-collection,5
daredevils-niagara-photos-writing-orrin-e-dunlap-collection,5
early-canastota-collection,5
east-hampton-library,5
farmingdale-state-college-thomas-d-greenley-library,5
field_alpha_sort/C,5
field_alpha_sort/N?page=4,5
field_alpha_sort/S?page=1,5
friends-historic-kingston,5
gar-wood-collection,5
geneva-ny-city-directories,5
glen-cove-library,5
goshen-ny-postcards,5
hammond-central-school-yearbooks,5
haviland-heidgerd-historical-collection-images-and-documents,5
henry-uihlein-scrapbook,5
highland-hospital-1940-1949-school-nursing-during-world-war-ii,5
hiram-s-wilson-civil-war-letters,5
historic-postcards-lynbrook-ny,5
history-village-lakewood,5
